ipAddress,abuseConfidenceScore,totalReports,countryCode,hostnames,domain,isp
185.148.241.190,47,35,TR,['hostmaster.poyrazhosting.com.tr'],moondc.com,Moon DC
185.158.106.67,0,0,DE,[],ipxo.com,IPXO Limited
185.182.65.18,0,0,PL,['undefined.hostname.localhost'],hostinglearn.com,Elisteka UAB
185.182.65.42,0,0,PL,['undefined.hostname.localhost'],hostinglearn.com,Elisteka UAB
185.182.65.90,0,0,PL,['undefined.hostname.localhost'],hostinglearn.com,Elisteka UAB
185.191.171.1,100,309,US,['1.bl.bot.semrush.com'],semrush.com,SEMRush CY Ltd
185.191.171.2,100,319,US,['2.bl.bot.semrush.com'],semrush.com,SEMRush CY Ltd
185.191.171.3,100,300,US,['3.bl.bot.semrush.com'],semrush.com,SEMRush CY Ltd
185.191.171.4,100,278,US,['4.bl.bot.semrush.com'],semrush.com,SEMRush CY Ltd
185.191.171.5,100,311,US,['5.bl.bot.semrush.com'],semrush.com,SEMRush CY Ltd
185.191.171.6,100,309,US,['6.bl.bot.semrush.com'],semrush.com,SEMRush CY Ltd
185.191.171.7,100,315,US,['7.bl.bot.semrush.com'],semrush.com,SEMRush CY Ltd
185.191.171.8,100,284,US,['8.bl.bot.semrush.com'],semrush.com,SEMRush CY Ltd
185.191.171.9,100,326,US,['9.bl.bot.semrush.com'],semrush.com,SEMRush CY Ltd
185.191.171.10,100,296,US,['10.bl.bot.semrush.com'],semrush.com,SEMRush CY Ltd
185.191.171.11,100,325,US,['11.bl.bot.semrush.com'],semrush.com,SEMRush CY Ltd
185.191.171.12,100,340,US,['12.bl.bot.semrush.com'],semrush.com,SEMRush CY Ltd
185.191.171.13,100,340,US,['13.bl.bot.semrush.com'],semrush.com,SEMRush CY Ltd
185.191.171.14,100,322,US,['14.bl.bot.semrush.com'],semrush.com,SEMRush CY Ltd
185.191.171.15,100,312,US,['15.bl.bot.semrush.com'],semrush.com,SEMRush CY Ltd
185.191.171.16,100,289,US,['16.bl.bot.semrush.com'],semrush.com,SEMRush CY Ltd
185.191.171.17,100,334,US,['17.bl.bot.semrush.com'],semrush.com,SEMRush CY Ltd
185.191.171.18,100,258,US,['18.bl.bot.semrush.com'],semrush.com,SEMRush CY Ltd
185.191.171.19,100,295,US,['19.bl.bot.semrush.com'],semrush.com,SEMRush CY Ltd
188.166.231.255,27,7,SG,[],digitalocean.com,DigitalOcean LLC
191.96.181.103,3,1,BR,[],heficed.com,Heficed
192.3.255.222,21,4,US,['192-3-255-222-host.colocrossing.com'],myserverplanet.com,My Server Planet LLC
192.44.68.163,41,22,US,[],crashlytics.com,Crashlytics Inc
192.186.159.221,4,1,US,['meiocenesophie.com'],servermania.com,B2 Net Solutions Inc.
192.227.94.171,41,35,US,['out43.dismailsend.com'],cloudsouth.com,Cloud South
192.241.64.243,14,2,US,[],servermania.com,B2 Net Solutions Inc.
192.241.111.124,13,2,US,[],servermania.com,B2 Net Solutions Inc.
193.142.146.226,100,783,NL,[],hostslick.com,HostSlick
194.147.114.233,0,0,RU,['56703.web.hosting-russia.ru'],argotel.ru,Gilmutdinov Ildar Aydarovich
196.51.35.47,52,35,US,[],e-comcloud.com,E-Com Cloud Solution Co. Ltd
196.199.104.59,0,0,GB,[],fibergrid.eu,Fiber Grid Inc
196.240.143.228,28,6,CA,[],fibergrid.eu,Fiber Grid Inc
196.242.20.79,30,7,NL,[],fibergrid.eu,Fiber Grid Inc
196.242.46.161,2,1,US,[],fibergrid.eu,Fiber Grid Inc
198.20.182.246,0,0,US,['realwebsignature.com'],servermania.com,B2 Net Solutions Inc.
198.245.72.15,4,1,US,[],servermania.com,B2 Net Solutions Inc.
199.102.107.145,79,33,US,['ip-199-102-107-145.hosts.zerolag.com'],performive.com,Performive LLC
2001:41d0:601:2000::fd1,0,0,PL,[],ovh.com,OVH SAS
2001:41d0:601:2000::156e,0,0,PL,[],ovh.com,OVH SAS
2001:41d0:601:2000::1c88,0,0,PL,[],ovh.com,OVH SAS
203.170.129.105,0,1,TH,[],hostatom.com,IDC-BR Customer
203.211.128.212,0,0,SG,['tesla.entrustnetwork.net'],m1net.com.sg,M1 Net Ltd
206.81.0.31,31,26,US,[],digitalocean.com,DigitalOcean LLC
207.46.13.102,0,100,US,['msnbot-207-46-13-102.search.msn.com'],microsoft.com,Microsoft Corporation
209.127.41.199,38,22,CA,['ef0efd7.irdelleseesetines.com'],servermania.com,B2 Net Solutions Inc.
212.102.35.32,89,57,NL,['unn-212-102-35-32.cdn77.com'],datacamp.co.uk,DataCamp Limited
216.244.66.241,65,105,US,[],wowrack.com,Wowrack.com
220.134.249.220,32,80,TW,['220-134-249-220.hinet-ip.hinet.net'],cht.com.tw,Chunghwa Telecom Co. Ltd.
221.158.213.183,34,54,KR,[],kt.com,KT Corporation
222.175.129.46,0,0,CN,[],chinatelecom.com.cn,Shandong Telecom Corporation
223.222.73.136,0,0,KR,[],skbroadband.com,SK Broadband Co Ltd
2605:a140:2084:885::1,0,0,US,['vmi840885.contaboserver.net'],contabo.com,Contabo Inc.
2804:5ea0:3501:c320:1899:9427:a30a:130e,0,0,BR,[],leovin.com.br,First Telecom Ltda
2a03:2880:2ff:3::face:b00c,0,41,US,['fwdproxy-cco-003.fbsv.net'],facebook.com,CCO
2a03:2880:2ff:8::face:b00c,0,39,US,['fwdproxy-cco-008.fbsv.net'],facebook.com,CCO
2a03:2880:2ff:c::face:b00c,0,23,US,['fwdproxy-cco-012.fbsv.net'],facebook.com,CCO
2a03:2880:2ff:71::face:b00c,0,17,US,['fwdproxy-cco-113.fbsv.net'],facebook.com,CCO
2a03:2880:2ff:74::face:b00c,0,41,US,['fwdproxy-cco-116.fbsv.net'],facebook.com,CCO
2a03:2880:11ff:9::face:b00c,0,33,US,['fwdproxy-ftw-009.fbsv.net'],fuckthatworld.com,FTW
2a03:2880:13ff:4::face:b00c,0,31,US,['fwdproxy-pnb-004.fbsv.net'],facebook.com,Facebook Inc.
2a03:2880:13ff:d::face:b00c,0,34,US,['fwdproxy-pnb-013.fbsv.net'],facebook.com,Facebook Inc.
2a03:2880:13ff:1d::face:b00c,0,30,US,['fwdproxy-pnb-029.fbsv.net'],facebook.com,Facebook Inc.
2a03:2880:13ff:25::face:b00c,0,19,US,['fwdproxy-pnb-037.fbsv.net'],facebook.com,Facebook Inc.
2a03:2880:13ff:71::face:b00c,0,13,US,['fwdproxy-pnb-113.fbsv.net'],facebook.com,Facebook Inc.
2a03:2880:16ff:7c::face:b00c,0,3,IE,['fwdproxy-gtn-124.fbsv.net'],facebook.com,Meta Platforms Ireland Limited
2a03:2880:22ff:f::face:b00c,0,23,US,['fwdproxy-rva-015.fbsv.net'],facebook.com,RVA
2a03:2880:22ff:16::face:b00c,0,18,US,['fwdproxy-rva-022.fbsv.net'],facebook.com,RVA
2a03:2880:22ff:19::face:b00c,0,18,US,['fwdproxy-rva-025.fbsv.net'],facebook.com,RVA
2a03:2880:27ff:6::face:b00c,0,35,US,['fwdproxy-ldc-006.fbsv.net'],ldc.fr,LDC
2a03:2880:27ff:72::face:b00c,0,5,US,['fwdproxy-ldc-114.fbsv.net'],ldc.fr,LDC
2a03:2880:27ff:74::face:b00c,0,44,US,['fwdproxy-ldc-116.fbsv.net'],ldc.fr,LDC
